SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy
RiceS10-1-1	Refer	Single	90%	KneadData	0.999793595
RiceS10-1-2	Refer	Single	90%	KneadData	0.999795795
RiceS10-1-3	Refer	Single	90%	KneadData	0.999799845
RiceS10-1-4	Refer	Single	90%	KneadData	0.999795495
RiceS10-1-5	Refer	Single	90%	KneadData	0.999793645
RiceS10-1-1	Refer	Single	90%	BWA	0.999605016
RiceS10-1-2	Refer	Single	90%	BWA	0.999735569
RiceS10-1-3	Refer	Single	90%	BWA	0.999743969
RiceS10-1-4	Refer	Single	90%	BWA	0.999463538
RiceS10-1-5	Refer	Single	90%	BWA	0.999527164
RiceS10-1-1	Refer	Single	90%	Bowtie2	0.99980432
RiceS10-1-2	Refer	Single	90%	Bowtie2	0.99980002
RiceS10-1-3	Refer	Single	90%	Bowtie2	0.99980287
RiceS10-1-4	Refer	Single	90%	Bowtie2	0.999800745
RiceS10-1-5	Refer	Single	90%	Bowtie2	0.99980192
RiceS10-1-1	Refer	Single	90%	Kraken2	0.980737607
RiceS10-1-2	Refer	Single	90%	Kraken2	0.980763683
RiceS10-1-3	Refer	Single	90%	Kraken2	0.980747357
RiceS10-1-4	Refer	Single	90%	Kraken2	0.980769458
RiceS10-1-5	Refer	Single	90%	Kraken2	0.980763783
RiceS10-1-1	Refer	Single	90%	KMCP	0.77303758
RiceS10-1-2	Refer	Single	90%	KMCP	0.772909927
RiceS10-1-3	Refer	Single	90%	KMCP	0.772947128
RiceS10-1-4	Refer	Single	90%	KMCP	0.772986679
RiceS10-1-5	Refer	Single	90%	KMCP	0.77305488
RiceS10-1-1	Refer	Single	90%	KrakenUniq	0.999908398
RiceS10-1-2	Refer	Single	90%	KrakenUniq	0.999910548
RiceS10-1-3	Refer	Single	90%	KrakenUniq	0.999911148
RiceS10-1-4	Refer	Single	90%	KrakenUniq	0.999906798
RiceS10-1-5	Refer	Single	90%	KrakenUniq	0.999908248
RiceS10-2-1	Refer	Single	50%	KneadData	0.998977327
RiceS10-2-2	Refer	Single	50%	KneadData	0.998976577
RiceS10-2-3	Refer	Single	50%	KneadData	0.998982927
RiceS10-2-4	Refer	Single	50%	KneadData	0.998980077
RiceS10-2-5	Refer	Single	50%	KneadData	0.998966826
RiceS10-2-1	Refer	Single	50%	BWA	0.998144758
RiceS10-2-2	Refer	Single	50%	BWA	0.998247035
RiceS10-2-3	Refer	Single	50%	BWA	0.997939078
RiceS10-2-4	Refer	Single	50%	BWA	0.997845226
RiceS10-2-5	Refer	Single	50%	BWA	0.997970079
RiceS10-2-1	Refer	Single	50%	Bowtie2	0.999889547
RiceS10-2-2	Refer	Single	50%	Bowtie2	0.999888522
RiceS10-2-3	Refer	Single	50%	Bowtie2	0.999888422
RiceS10-2-4	Refer	Single	50%	Bowtie2	0.999886972
RiceS10-2-5	Refer	Single	50%	Bowtie2	0.999888347
RiceS10-2-1	Refer	Single	50%	Kraken2	0.989051775
RiceS10-2-2	Refer	Single	50%	Kraken2	0.989061876
RiceS10-2-3	Refer	Single	50%	Kraken2	0.989065551
RiceS10-2-4	Refer	Single	50%	Kraken2	0.989063451
RiceS10-2-5	Refer	Single	50%	Kraken2	0.98903835
RiceS10-2-1	Refer	Single	50%	KMCP	0.873909775
RiceS10-2-2	Refer	Single	50%	KMCP	0.873842824
RiceS10-2-3	Refer	Single	50%	KMCP	0.873836323
RiceS10-2-4	Refer	Single	50%	KMCP	0.873915975
RiceS10-2-5	Refer	Single	50%	KMCP	0.873833373
RiceS10-2-1	Refer	Single	50%	KrakenUniq	0.99955284
RiceS10-2-2	Refer	Single	50%	KrakenUniq	0.99955014
RiceS10-2-3	Refer	Single	50%	KrakenUniq	0.99955894
RiceS10-2-4	Refer	Single	50%	KrakenUniq	0.99955064
RiceS10-2-5	Refer	Single	50%	KrakenUniq	0.99954574
RiceS10-3-1	Refer	Single	10%	KneadData	0.998162908
RiceS10-3-2	Refer	Single	10%	KneadData	0.998154108
RiceS10-3-3	Refer	Single	10%	KneadData	0.998156858
RiceS10-3-4	Refer	Single	10%	KneadData	0.998145357
RiceS10-3-5	Refer	Single	10%	KneadData	0.998135907
RiceS10-3-1	Refer	Single	10%	BWA	0.99628759
RiceS10-3-2	Refer	Single	10%	BWA	0.996918904
RiceS10-3-3	Refer	Single	10%	BWA	0.996253039
RiceS10-3-4	Refer	Single	10%	BWA	0.996377342
RiceS10-3-5	Refer	Single	10%	BWA	0.996368041
RiceS10-3-1	Refer	Single	10%	Bowtie2	0.999976074
RiceS10-3-2	Refer	Single	10%	Bowtie2	0.999972674
RiceS10-3-3	Refer	Single	10%	Bowtie2	0.999974699
RiceS10-3-4	Refer	Single	10%	Bowtie2	0.999975799
RiceS10-3-5	Refer	Single	10%	Bowtie2	0.999974074
RiceS10-3-1	Refer	Single	10%	Kraken2	0.997341514
RiceS10-3-2	Refer	Single	10%	Kraken2	0.997356989
RiceS10-3-3	Refer	Single	10%	Kraken2	0.997337139
RiceS10-3-4	Refer	Single	10%	Kraken2	0.997334364
RiceS10-3-5	Refer	Single	10%	Kraken2	0.997336439
RiceS10-3-1	Refer	Single	10%	KMCP	0.974811021
RiceS10-3-2	Refer	Single	10%	KMCP	0.974812221
RiceS10-3-3	Refer	Single	10%	KMCP	0.974815171
RiceS10-3-4	Refer	Single	10%	KMCP	0.97479382
RiceS10-3-5	Refer	Single	10%	KMCP	0.97476502
RiceS10-3-1	Refer	Single	10%	KrakenUniq	0.999198232
RiceS10-3-2	Refer	Single	10%	KrakenUniq	0.999193431
RiceS10-3-3	Refer	Single	10%	KrakenUniq	0.999196432
RiceS10-3-4	Refer	Single	10%	KrakenUniq	0.999188531
RiceS10-3-5	Refer	Single	10%	KrakenUniq	0.999174931
